AnoMes,qtdCartoesEmitidos,qtdCartoesAtivos,qtdTransacoesNacionais,valorTransacoesNacionais,qtdTransacoesInternacionais,valorTransacoesInternacionais
2011-02,1131790,62911,203228,1782462746.0,49,46433.0
2011-02,614973,172602,832956,6414308201.0,0,0.0
2011-02,4217,1518,23972,337710678.0,1384,50993827.0
2011-02,5821264,3799060,21850542,20869151492.0,1,1.0
2011-02,487967,300491,6072002,80756362182.0,304375,608486144.0
2011-02,12440,8853,30579,3436965.0,607,200619.0
2011-02,171345,86021,1964382,100914599221.0,216095,12743817149.0
2011-03,614150,173906,879333,6817834144.0,0,0.0
2011-03,4835133,3279408,54358824,677274382054.0,2047959,3786092405.0
2011-03,23954,12979,162663,755379893.0,0,0.0
2011-03,2731,1201,28488,834274845.0,4981,314181113.0
2011-03,666,337,6137,174287671.0,330,18601343.0
2011-03,23725919,12464149,122641100,816405383956.0,336296,2755111874.0
2011-03,477972,219885,3407735,135910586845.0,154580,6967586613.0
2011-03,239616,147705,4908043,77442682204.0,338491,8705216319.0
2011-03,892498,408111,6266528,39808708804.0,4023,8824274.0
2011-03,243820,149964,5007302,84321502688.0,365593,10197102524.0
2011-03,167056,88101,1706267,15569232967.0,9,9879.0
2011-03,50204,23608,669010,24329578397.0,28555,1430442691.0
2011-03,27771,0,20726,101380377.0,0,0.0
2011-03,88489,68935,957411,1551649745.0,32607,930669734.0
2011-03,57912,13922,281998,275220015.0,1569,376563152.0
2011-03,8637264,5214912,51822202,546154328279.0,0,0.0
2011-03,138719,53009,203108,112369813.0,0,0.0
2011-03,572073,315102,6662961,87742145931.0,342103,6741714584.0
2011-03,241421,117791,352203,165692143306.0,15255,748560948.0
2011-03,14535658,7694495,73995245,583749658312.0,352755,2103438182.0
2011-03,346575,243365,14430008,227269085559.0,979118,32706747242.0
2011-03,73111,0,6,34905.0,0,0.0
2011-03,4756266,1389914,12507636,106228025464.0,5945,25690092.0
2011-03,5725433,3684508,21212871,210401427796.0,1,1.0
2011-03,90006506,31098588,351084510,1848172813775.0,164515,3207479249.0
2011-03,44695,7435,104608,553889295.0,0,0.0
2011-03,413428,161589,38918,1799976766.0,0,0.0
2011-03,132817746,44665725,417718213,2244795441189.0,210175,2174607396.0
2011-03,829262,412909,5154323,36558035083.0,11634,304809123.0
2011-03,16830170,9141244,125788747,1111205387255.0,3753650,46200237354.0
2011-03,503127,301569,6160424,84031773393.0,312138,6509334521.0
2011-03,1124118,59971,213379,1752837579.0,16,265974.0
2011-03,10801074,3920421,26010576,234716645186.0,15589,68052262.0
2011-03,1296827,568494,6906296,7124419764.0,177345,2634628495.0
2011-03,1167040,729294,15050327,113656646765.0,11,81228.0
2011-03,2507930,741575,105146,1091146079.0,0,0.0
2011-03,92572,4431,52101,909885845.0,2382,104104025.0
2011-03,14232751,8586387,106797207,999494592545.0,2707085,30848047479.0
2011-03,11288,6834,101029,795993092.0,0,0.0
2011-03,9452866,4079367,35739101,38340034211.0,2,58924.0
2011-03,500,424,6357,162467071.0,247,10530992.0
2011-03,1289328,336254,940420,1466091527.0,0,0.0
2011-03,2660266,1584124,38900281,510418471979.0,1754711,38048154424.0
2011-03,2017456,748440,8979955,46949733991.0,192,3459966.0
2011-03,130843,62381,578409,4810668984.0,6619,201539866.0
2011-03,15511,5810,144416,1339931377.0,6126,127688445.0
2011-03,42437,10941,309407,15077381105.0,10367,498566961.0
2011-03,338188,234215,3349927,5481755168.0,115145,3228787927.0
2011-03,14317,2224,31139,393776824.0,1836,48646687.0
2011-03,4606028,2012630,20353275,184887448863.0,6826,82780338.0
2011-03,1568212,602157,9573154,180143809814.0,332144,1295455467.0
2011-03,40959,9980,116630,1218792273.0,1898,24604058.0
2011-03,219787,138499,5727198,10231194675.0,404160,15596031096.0
2011-03,1074850,431739,5626174,58812652812.0,0,0.0
2011-03,1783632,42623,491643,3870363105.0,0,0.0
2011-03,1149633,650116,6031889,30058805553.0,47241,365999392.0
2011-03,805674,308669,4588533,92954341743.0,162545,6578436435.0
2011-03,8531129,3672554,42928053,233723113968.0,13,143121.0
2011-03,2703889,1089736,23420176,137431440814.0,0,0.0
2011-03,1331804,306628,1693983,9934629057.0,0,0.0
2011-03,6547599,4451460,85388320,1036812044553.0,3552157,70313376626.0
2011-03,1208142,645963,7010277,76540255971.0,174947,2861608815.0
2011-03,178794,80731,2095290,109148964253.0,205204,11480402488.0
2011-03,2381475,1256195,18614066,16577783618.0,805847,18059290171.0
2011-03,7742,3741,167714,4713280188.0,32643,1667661553.0
2011-03,1341896,918554,8814518,66480839635.0,61,1014327.0
2011-03,483206,131067,1529569,17268945926.0,891,33424334.0
2011-03,1259098,704365,12723681,88842979161.0,9,100906.0
2011-03,1844,1345,2992,21818201.0,0,0.0
2011-03,6381,538,2024,30495874.0,22,824842.0
2011-03,2366777,1106553,7350487,6396511710.0,33266,390187739.0
2011-03,106810,4281,34702,95409986.0,0,0.0
2011-03,675390,406883,9179858,134662414811.0,842495,32567226611.0
2011-03,3340476,2098411,73045288,899305968169.0,3195867,64117038006.0
2011-04,554705,307679,6568266,89715250356.0,286190,6727423029.0
2011-04,878799,425807,6102139,45877410629.0,14666,414665086.0
2011-04,86067,66724,1019311,1740030444.0,31307,95050069.0
2011-04,4763727,2239777,22216079,214687967821.0,6492,74575735.0
2011-04,1087860,542256,5877081,32730995857.0,53021,390770428.0
2011-04,3584800,2291525,76711274,876180168448.0,2701941,72490513348.0
2011-04,5917093,3832902,21381197,218143015237.0,1,1.0
2011-04,21909,5589,77018,769587807.0,3069,8032235.0
2011-04,329412,230195,3627058,6225065667.0,116512,3418347864.0
2011-04,2208540,1020443,7137112,66560384713.0,31852,371347648.0
2011-04,686924,415289,9286860,140100738989.0,817262,33720948956.0
2011-04,54081,1,79554,467933004.0,0,0.0
2011-04,134718,65100,696584,626159913.0,7803,249906143.0
2011-04,11638,7196,118176,990230036.0,0,0.0
2011-04,11115397,4011131,28112404,272246223876.0,13256,53934921.0
2011-04,1267025,688181,13725962,101748952869.0,6,164724.0
2011-04,4536128,3057069,69551936,801281244403.0,1848869,38427646023.0
2011-04,14630073,8778436,101705150,948193796646.0,1675588,22219567416.0
2011-04,663,329,6188,16941407.0,374,2899832.0
2011-04,1259767,560485,7042778,76881613054.0,163613,2356858714.0
2011-04,2853199,1652290,42108006,536096683838.0,1605933,41668467005.0
